"filename", "language", "Markdown", "Ignore", "Properties", "JavaScript", "XML", "SCSS", "JavaScript JSX", "CSS", "JSON", "HTML", "Docker", "comment", "blank", "total"
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Users\EditUser.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 6, 78
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Users\Users.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 161, 0, 0, 0, 0, 4, 4, 169
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\index.js", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\components\Calendar\Calendar.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 2, 24
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\components\Calendar\Calendar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 158, 0, 0, 0, 0, 11, 8, 177
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\components\Description\Description.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 3, 16
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\components\Loading\Loading.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 3, 21
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\components\Loading\Loading.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 3, 16
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\components\NumericInput\NumericInput.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 1, 2, 40
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\context\booking.context.js", "JavaScript", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\css\bootstrap-grid.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 3865, 0, 0, 0, 7, 1130, 5002
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\css\bootstrap-reboot.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 346, 0, 0, 0, 16, 64, 426
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\css\bootstrap-utilities.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 3634, 0, 0, 0, 9, 1109, 4752
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\css\bootstrap.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 9102, 0, 0, 0, 27, 1708, 10837
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\css\fonts.scss", "SCSS", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 5, 22
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\http\index.js", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\main.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 2, 17
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\routes\routes.js", "JavaScript", 0, 0, 0, 129, 0, 0, 0, 0, 0, 0, 0, 3, 2, 134
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\services\additionalsService.js", "JavaScript", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 2, 35
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\services\bookingService.js", "JavaScript", 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 6, 53
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\services\dealService.js", "JavaScript", 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 2, 59
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\services\functionService.js", "JavaScript", 0, 0, 0, 143, 0, 0, 0, 0, 0, 0, 0, 14, 12, 169
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\services\hotelSettingsService.js", "JavaScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\services\querysService.js", "JavaScript", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 3, 36
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\services\rateService.js", "JavaScript", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 2, 34
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\services\repairRoomService.js", "JavaScript", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 2, 26
